label,question
3,правильно средство
3,лекарство
1,период
2,информация справочный служба
3,правильно продукт
2,номерок справка
4,точно заявка пост
3,номер справочный консультация
2,точно заявка работа
4,правильно анкета сотрудник
4,телефон оператор справочный консультация
1,быстро резюме
2,заявка пост
4,што период сайт
4,цифра период
1,период карта
1,смысл период карта
4,анкета сотрудник
1,продукт
4,правильно лекарство
1,информация номер справочный служба
3,што период
4,откуда информация номер справка
3,данный номер справка
3,непонятно че данный период
2,анкета
1,номер телефон справочный служба
4,товар
1,медикамент
2,информация номер оператор справочный служба
2,насчет номер телефон справка
1,заявка
4,што цифра период
4,точно лекарство
2,данные период
4,че период
4,правильно товар
3,данный номер справочный служба
3,справочный служба
2,насчет данные телефон справка
4,правильно заявка работа
4,быстро заявка пост
2,правильно заявка
2,че цифра период
4,быстро заявка работа
1,информация номер диспетчер справочный служба
3,непонятно че данные период
3,точно медикамент
3,информация номер справка
4,информация диспетчер справка
1,точно продукт
1,номер оператор справочный консультация
3,резюме
4,точно резюме
2,быстро анкета
2,заявка работа
2,период сайт
2,точно средство
4,средство
4,правильно медикамент
4,непонятно период
1,што данные период
1,точно анкета
4,номер диспетчер справка
2,правильно заявка пост
1,точно товар
4,точно анкета сотрудник
1,быстро анкета сотрудник
3,быстро заявка
3,правильно резюме
2,телефон справочная служба
1,польза период сайт
2,номер справка
2,што период карта
3,польза период карта
2,оператор справка
3,номерок оператор справка
4,телефон справочный консультация
1,справка
4,смысл период сайт
4,телефон справка
4,данный период
4,точно заявка
2,непонятно цифра период
4,информация справка
4,че данный период
4,номер диспетчер справочный служба
2,насчет данный номер справочный служба
4,информация оператор справка
2,номер телефон справочный консультация
1,информация диспетчер справочный служба
3,правильно анкета
3,непонятно че период
4,откуда информация справочный служба
3,данный номер диспетчер справочный служба
3,номерок диспетчер справка
2,данные телефон справочный служба
1,непонятно че цифра период
3,че период сайт
1,номерок справочный служба
1,номер справочный служба
3,насчет данные телефон справочный информация
3,телефон оператор справка
4,че данные период
3,оператор справочный служба
1,насчет номер справка
1,информация номер диспетчер справка
4,непонятно данные период
4,номер оператор справочный служба
2,данный номер оператор справочный служба
4,данные телефон оператор справка
1,диспетчер справочный служба
4,данные номер оператор справка
1,данный номер диспетчер справка
3,данные телефон справка
3,проблема телефон оператор справка
1,што данный период
4,номерок оператор справочный служба
3,насчет телефон справочный информация
4,проблема номер справочный служба
4,телефон оператор справочный служба
3,откуда данный номер справочный служба
3,насчет телефон оператор справка
1,че период карта
3,вывести телефон оператор справочный служба
3,насчет телефон справка
4,насчет номер справочный служба
4,информация оператор справочный служба
4,информация номер оператор справка
3,номер оператор справка
4,откуда номерок справка
4,откуда справочный служба
1,откуда информация справка
3,насчет информация справка
3,номерок диспетчер справочный служба
4,данные телефон справочный информация
3,насчет номер оператор справка
4,номер телефон справка
1,насчет телефон справочный служба
1,диспетчер справка
3,информация справочный информация
2,насчет данные телефон оператор справка
2,номер телефон справочный информация
3,непонятно што цифра период
3,насчет номер телефон оператор справка
1,насчет данный номер оператор справка
1,проблема телефон справочная служба
1,откуда номер справочный служба
1,насчет номер телефон справочный служба
4,насчет данный номер справочный информация
2,насчет информация справочный информация
4,телефон справочный служба
4,непонятно што период
2,откуда данный номер справка
3,телефон справочный информация
1,насчет номер справочный информация
2,затруднение номер телефон справочный служба
3,данный номер оператор справка
3,насчет данный номер справка
1,данные номер диспетчер справочный служба
3,откуда справка
1,насчет номер телефон справочный информация
2,затруднение телефон оператор справка
1,непонятно данный период
3,насчет информация оператор справка
4,номер справочный информация
2,непонятно што данный период
1,затруднение номер справка
2,непонятно што данные период
4,вывести телефон справочный служба
2,данные номер справочный служба
1,данные номер справка
4,затруднение номер оператор справка
1,затруднение телефон справочная служба
1,данные номер оператор справочный служба
1,затруднение номер телефон справка
2,насчет данные телефон справочный служба
1,затруднение номер справочный служба
3,номер телефон оператор справка
3,данный номер справочный информация
1,вывести номер справочный служба
2,вывести номер оператор справочный служба
4,насчет информация справочный служба
3,данные номер диспетчер справка
4,проблема номер телефон справка
3,затруднение телефон справка
4,вывести телефон оператор справка
3,вывести номер справка
3,откуда номерок справочный служба
4,вывести номер телефон справочный служба
3,откуда номер справка
2,проблема номер телефон справочный служба
3,вывести телефон справка
3,затруднение телефон оператор справочный служба
4,проблема номер оператор справочный служба
1,затруднение номер оператор справочный служба
1,вывести номер телефон справка
4,проблема телефон оператор справочный служба
1,вывести номер оператор справка
3,проблема номер справка
1,проблема номер оператор справка
2,проблема телефон справка
3,откуда информация номер справочный служба
