label,question
3,желать правильно находить средство
3,разбирать лекарство
1,поделиться давать период
2,знать информация справочный служба
3,желать правильно разбирать продукт
2,взять номерок справка
4,хотеть точно набросать заявка пост
3,посоветовать правильно присматривать продукт
2,находить номер справочный консультация
4,хотеть точно оформлять заявка работа
4,позволять правильно направлять анкета сотрудник
1,просвещать служить период
2,хотеть получать телефон оператор справочный консультация
4,помогать быстро оформлять резюме
4,позволять оформлять заявка пост
1,што давать период сайт
1,объяснять понимать свидетельствовать цифра период
4,хотеть быстро написать резюме
1,объяснять давать период карта
4,хотеть быстро составлять резюме
1,смысл использовать период карта
3,желать правильно выбирать средство
4,хотеть набросать анкета сотрудник
3,помогать подыскивать продукт
3,помогать правильно лекарство
2,находить информация номер справочный служба
1,просвещать што дарить период
4,желать оставлять заявка пост
1,рассказывать свидетельствовать период
2,откуда информация номер справка
2,подсказывать данный номер справка
1,непонятно че давать данный период
4,мочь оставлять анкета
4,хотеть быстро оформлять резюме
2,мочь дозваниваться номер телефон справочный служба
4,позволять набросать анкета сотрудник
4,мочь быстро набросать резюме
3,хотеть выбирать товар
3,помогать подыскивать медикамент
2,желать номерок справка
4,правильно написать анкета сотрудник
4,правильно составлять анкета сотрудник
2,желать информация номер оператор справочный служба
2,насчет номер телефон справка
4,желать набирать заявка должность
1,просвещать што свидетельствовать цифра период
3,помогать правильно продукт
3,хотеть правильно находить продукт
3,помогать точно разбирать лекарство
4,хотеть написать анкета сотрудник
1,поделиться служить данные период
1,просвещать че свидетельствовать период
3,желать правильно находить товар
4,мочь набросать заявка должность
2,подсказывать данный номер справочный служба
2,взять связываться справочный служба
2,подсказывать номерок справка
2,насчет данные телефон справка
4,правильно написать заявка работа
4,хотеть быстро заполнять заявка пост
4,правильно подавать заявка должность
1,прояснять свидетельствовать период
1,рассказывать че служить цифра период
4,позволять быстро оставлять заявка работа
2,информация номер диспетчер справочный служба
1,непонятно че данные период
4,помогать набирать анкета сотрудник
1,служить период
3,хотеть точно присматривать медикамент
3,посоветовать правильно продукт
2,давать информация номер справка
1,просвещать давать период
2,хотеть информация диспетчер справка
2,хотеть получать телефон оператор справочный консультация
3,посоветовать точно продукт
2,хотеть получать номер оператор справочный консультация
3,отыскивать лекарство
4,желать набросать резюме
1,поделиться свидетельствовать период
4,желать придумывать заявка должность
4,мочь быстро заполнять заявка работа
4,помогать точно подавать резюме
4,позволять быстро подавать анкета
2,информация справочный служба
4,точно подавать заявка работа
4,желать быстро подавать резюме
4,быстро придумывать резюме
2,подсказывать номер оператор справочный консультация
4,позволять набросать заявка работа
2,помогать находить информация номер справочный служба
1,объяснять использовать период сайт
3,хотеть точно присматривать средство
3,желать присматривать лекарство
4,помогать набросать заявка пост
3,желать точно выбирать лекарство
3,присматривать средство
2,данный номер справка
1,прояснять давать цифра период
3,помогать правильно медикамент
1,просвещать период
1,объяснять че дарить цифра период
3,помогать правильно находить товар
3,посоветовать точно подыскивать продукт
4,желать написать заявка работа
3,хотеть разбирать лекарство
1,непонятно понимать период
1,прояснять што данные период
4,помогать точно оформлять анкета
4,мочь набирать резюме
2,номер диспетчер справка
4,желать быстро придумывать резюме
1,прояснять че служить период
4,позволять правильно придумывать заявка пост
1,значить период сайт
3,помогать точно подыскивать товар
3,посоветовать точно выбирать товар
1,просвещать давать период
4,правильно направлять анкета сотрудник
3,правильно отыскивать лекарство
4,хотеть точно направлять анкета сотрудник
4,помогать оставлять анкета
3,помогать правильно подбирать продукт
3,посоветовать медикамент
1,непонятно обозначать период
3,разбирать продукт
3,помогать точно отыскивать продукт
4,мочь подавать заявка пост
4,быстро оформлять анкета сотрудник
4,быстро набросать заявка должность
3,хотеть лекарство
4,точно придумывать резюме
4,позволять правильно написать резюме
1,прояснять што служить данные период
3,помогать точно подбирать средство
3,помогать точно подбирать лекарство
4,позволять быстро направлять анкета сотрудник
3,посоветовать точно выбирать лекарство
4,желать быстро набросать заявка работа
1,поделиться дарить данные период
1,поделиться служить данные период
3,посоветовать разбирать средство
2,трудность телефон справочная служба
2,рассказывать телефон оператор справочный консультация
3,помогать товар
3,хотеть разбирать продукт
1,дарить период
1,че свидетельствовать цифра период
1,использовать период сайт
1,польза значить период сайт
4,мочь составлять заявка пост
2,трудность номер телефон справочный служба
4,подавать заявка работа
4,мочь быстро придумывать заявка должность
2,хотеть номер справка
3,хотеть правильно отыскивать товар
1,што обозначать период карта
2,подсказывать номер справочный консультация
3,помогать правильно присматривать продукт
3,хотеть правильно подыскивать продукт
1,просвещать свидетельствовать данные период
3,посоветовать точно подыскивать средство
1,польза приносить период карта
2,связываться оператор справка
1,што значить период сайт
3,хотеть выбирать средство
4,желать придумывать заявка работа
2,номерок оператор справка
1,просвещать понимать период
2,подсказывать телефон справочный консультация
4,позволять направлять заявка пост
2,мочь узнавать связываться справка
1,поделиться што период
4,позволять правильно оформлять резюме
1,объяснять што свидетельствовать цифра период
1,смысл обозначать период сайт
1,што использовать период карта
2,телефон справка
1,объяснять служить период
3,отыскивать товар
3,хотеть правильно подыскивать медикамент
1,прояснять обозначать данный период
2,помогать находить данный номер справка
4,направлять резюме
3,желать точно выбирать продукт
4,позволять быстро направлять заявка пост
3,разбирать средство
4,желать быстро набросать анкета
3,помогать правильно выбирать продукт
3,посоветовать правильно медикамент
4,точно придумывать заявка должность
3,желать точно выбирать средство
2,давать телефон справочный консультация
3,желать правильно подбирать товар
3,помогать правильно подыскивать продукт
4,правильно направлять заявка должность
1,понимать служить данные период
1,смысл использовать период сайт
4,желать правильно придумывать резюме
1,значить период карта
3,посоветовать средство
1,непонятно обозначать цифра период
2,данный номер справка
3,помогать медикамент
1,рассказывать служить период
2,данный номер справка
3,желать средство
1,поделиться што цифра период
3,хотеть находить товар
4,мочь оставлять заявка пост
4,мочь правильно оставлять заявка пост
2,информация справка
3,хотеть точно разбирать продукт
4,желать придумывать резюме
1,поделиться че давать данный период
3,хотеть точно присматривать лекарство
2,номер диспетчер справочный служба
3,помогать точно разбирать средство
2,прояснять насчет данный номер справочный служба
4,позволять точно направлять анкета
3,желать правильно присматривать товар
2,желать информация оператор справка
3,хотеть продукт
4,позволять быстро заполнять анкета сотрудник
4,правильно набирать заявка должность
1,рассказывать обозначать период сайт
3,помогать подбирать товар
4,желать написать заявка пост
4,позволять правильно набросать заявка должность
1,служить период
3,хотеть правильно средство
3,помогать точно подбирать продукт
1,непонятно понимать служить период
4,позволять быстро подавать заявка должность
3,посоветовать правильно находить лекарство
4,помогать быстро заполнять резюме
3,посоветовать точно разбирать лекарство
1,прояснять што давать цифра период
1,смысл давать период карта
4,помогать составлять резюме
2,рассказывать номер телефон справочный консультация
1,непонятно обозначать период
2,мочь узнавать информация диспетчер справочный служба
1,прояснять свидетельствовать цифра период
1,объяснять значить период сайт
2,хотеть номер справочный консультация
4,позволять точно набросать заявка пост
1,просвещать понимать свидетельствовать цифра период
4,желать правильно набирать резюме
1,поделиться понимать давать цифра период
3,помогать подбирать средство
4,помогать правильно подавать резюме
2,мочь дозваниваться информация справка
1,прояснять што обозначать период
1,давать период сайт
3,посоветовать подыскивать медикамент
1,што приносить период сайт
1,польза давать период сайт
4,точно направлять заявка работа
4,мочь правильно набросать анкета
3,посоветовать точно отыскивать медикамент
2,информация номер справка
3,помогать разбирать медикамент
1,што давать период
2,информация справка
1,объяснять приносить период сайт
2,находить информация справка
4,желать правильно написать заявка работа
3,помогать подбирать лекарство
3,посоветовать разбирать продукт
2,мочь узнавать номер диспетчер справочный служба
1,рассказывать што обозначать цифра период
4,хотеть оформлять резюме
3,хотеть точно лекарство
1,использовать период карта
3,помогать отыскивать продукт
4,позволять быстро написать заявка должность
3,точно подбирать лекарство
3,желать правильно присматривать товар
1,рассказывать цифра период
3,помогать присматривать продукт
3,желать выбирать товар
1,непонятно че давать период
3,хотеть точно разбирать медикамент
4,позволять быстро составлять резюме
4,точно набросать заявка пост
2,откуда информация справочный служба
1,смысл давать период карта
4,мочь быстро придумывать заявка пост
3,присматривать продукт
2,подсказывать информация справочный служба
4,мочь оформлять резюме
1,смысл приносить период карта
4,мочь точно составлять заявка работа
4,хотеть точно придумывать анкета сотрудник
1,польза использовать период карта
1,объяснять што данные период
2,взять номер оператор справочный консультация
2,написать информация справка
2,данный номер справка
4,желать быстро направлять заявка работа
3,присматривать медикамент
4,мочь написать резюме
2,желать данный номер диспетчер справочный служба
4,составлять анкета сотрудник
4,желать набросать анкета сотрудник
2,хотеть получать номер справочный консультация
3,посоветовать правильно подыскивать продукт
4,позволять правильно набирать заявка пост
2,мочь находить информация номер оператор справочный служба
4,заполнять анкета сотрудник
3,помогать точно находить товар
2,мочь узнавать номер диспетчер справка
1,поделиться обозначать период
4,позволять точно подавать анкета
2,мочь узнавать номерок диспетчер справка
1,непонятно служить период
1,рассказывать дарить данные период
3,хотеть находить товар
2,давать номер оператор справочный консультация
4,помогать правильно оформлять заявка работа
4,правильно написать заявка должность
4,направлять заявка должность
2,данные телефон справочный служба
4,помогать быстро придумывать заявка пост
1,непонятно че служить цифра период
1,объяснять че свидетельствовать период
3,желать отыскивать средство
2,подсказывать номер справка
3,точно подыскивать средство
2,находить телефон справочный консультация
3,посоветовать правильно отыскивать товар
3,разбирать продукт
4,набирать анкета сотрудник
1,польза приносить период карта
1,че давать период сайт
3,желать точно присматривать средство
2,мочь узнавать номерок справочный служба
3,точно подбирать лекарство
